                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.259,                0.92244,                 1.2553,                 0.9616,                0.92964,                0.96257,                0.61081,                 1.3131,                0.55975,                 1.2512,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.2106,                0.66629,                 1.1945,                0.95996,                0.91229,                0.95461,                0.59665,                 1.3408,                0.66434,                 1.2903,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.2647,                0.74173,                 1.2441,                0.94216,                0.87102,                0.93812,                0.56112,                 1.3822,                0.75029,                 1.3276,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.2782,                0.75975,                 1.2749,                0.96377,                0.90854,                0.95399,                0.60834,                 1.3167,                0.64014,                 1.2853,               0.009703,               0.009703,               0.009703
                      5,                 1.2418,                0.70753,                 1.2504,                 0.9599,                 0.9137,                0.96404,                 0.6103,                  1.306,                0.59963,                 1.2728,               0.009604,               0.009604,               0.009604
                      6,                 1.2089,                0.66874,                 1.2373,                0.96209,                 0.9212,                0.95924,                0.62549,                  1.269,                0.55997,                 1.2562,               0.009505,               0.009505,               0.009505
                      7,                 1.1838,                0.64105,                 1.2221,                0.95939,                0.93011,                0.96436,                 0.6184,                 1.3013,                 0.5578,                 1.2717,               0.009406,               0.009406,               0.009406
                      8,                 1.1704,                0.62452,                 1.2175,                0.97387,                0.94137,                0.97202,                0.64826,                 1.2203,                0.50456,                  1.227,               0.009307,               0.009307,               0.009307
                      9,                 1.1542,                0.60117,                 1.2029,                0.96937,                0.94137,                0.97006,                0.66031,                 1.1951,                 0.4889,                 1.1966,               0.009208,               0.009208,               0.009208
                     10,                  1.145,                0.59096,                 1.1961,                0.97531,                0.93574,                0.96838,                0.64507,                 1.2239,                0.49251,                 1.2194,               0.009109,               0.009109,               0.009109
                     11,                 1.1308,                0.57833,                 1.1873,                0.96668,                0.94794,                0.97518,                0.66974,                 1.1761,                0.47358,                 1.1841,                0.00901,                0.00901,                0.00901
                     12,                 1.1218,                0.56344,                 1.1819,                0.97364,                  0.947,                0.97623,                0.67219,                 1.1587,                0.46909,                 1.1726,               0.008911,               0.008911,               0.008911
                     13,                 1.1145,                0.55853,                 1.1774,                0.97723,                0.94606,                0.97351,                0.67793,                 1.1573,                0.45231,                 1.1727,               0.008812,               0.008812,               0.008812
                     14,                 1.1036,                0.54472,                 1.1687,                0.96708,                0.95089,                0.97773,                0.68084,                   1.15,                 0.4511,                 1.1678,               0.008713,               0.008713,               0.008713
